
Configuration FH_rang_c=0.945_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 5 100 0.100504 5 1.19329 3 0.825837 5 3.07055 3.04 3 0.35 5 20.21 3 10.016 0.48 3 0.5 2 0.486 0.5 2 0.52 3 0.514
2 5 100 0.100504 5 1.16525 3 0.791255 4.66667 3.15428 2.85714 3 0.4 5 21.66 3 9.886 0.47 1 0.5 2 0.482 0.5 2 0.53 1 0.518
3 5 100 0.100504 5 1.23157 2 0.839437 5 3.07055 3.04 3 0.31 5 19.54 3 9.78 0.47 2 0.5 1 0.482 0.5 1 0.53 2 0.518
4 5 100 0.100504 5 1.18545 2 0.807602 4.83333 3.17175 2.7931 3 0.36 5 21.01 3 9.938 0.47 2 0.5 1 0.48 0.5 1 0.53 2 0.52
5 4 100 0.483261 4 1.16737 2 0.983363 4.83333 3.71525 2.7931 3 7.16 4 21.5 3 12.515 0.48 1 0.48 1 0.48 0.52 1 0.52 1 0.52
6 5 100 0.100504 5 1.19386 3 0.815041 5 3.07055 3.04 3 0.37 5 20.39 3 9.85 0.48 2 0.49 1 0.482 0.51 1 0.52 2 0.518
7 5 100 0.100504 5 1.20275 3 0.805233 4.8 3.04625 3.08333 3 0.33 5 20.44 3 9.888 0.48 2 0.52 1 0.488 0.48 1 0.52 2 0.512
8 4 100 0.48423 4 1.16624 2 0.972554 4.83333 3.71525 2.7931 3 7.3 4 21.09 3 12.18 0.47 2 0.5 1 0.4825 0.5 1 0.53 2 0.5175
9 5 100 0.100504 5 1.18745 3 0.795893 5 3.07055 3.04 3 0.38 5 21 3 9.872 0.48 3 0.49 1 0.484 0.51 1 0.52 3 0.516
10 5 100 0.100504 5 1.16982 3 0.798493 5 3.06602 3 3 0.39 5 20.73 3 9.848 0.47 2 0.49 3 0.48 0.51 3 0.53 2 0.52




Configuration FH_rang_c=0.955_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 5 100 0.228762 5 1.07871 3 0.797904 4.2 2.95211 3 3 1.84 5 17.89 3 10.016 0.51 1 0.54 2 0.534 0.46 2 0.49 1 0.466
2 5 100 0.204124 5 1.05883 3 0.759409 4.2 2.9531 3 3 1.6 5 18.4 3 9.886 0.54 3 0.58 1 0.55 0.42 1 0.46 3 0.45
3 5 100 0.273713 5 1.09256 3 0.811836 4.25 2.85029 3.23529 3 2.23 5 16.37 3 9.78 0.54 2 0.55 1 0.542 0.45 1 0.46 2 0.458
4 5 100 0.274121 5 1.07443 3 0.800001 4.25 2.85029 3.23529 3 2.58 5 16.55 3 9.938 0.54 1 0.55 4 0.542 0.45 4 0.46 1 0.458
5 5 100 0.25209 5 1.04608 3 0.780296 4 2.9261 3 3 2.26 5 17.41 3 10.012 0.54 5 0.57 1 0.554 0.43 1 0.46 5 0.446
6 6 100 0.100504 6 1.0333 3 0.658153 4.2 2.62281 2.95238 3 0.37 6 17.14 3 8.20833 0.54 3 0.55 1 0.543333 0.45 1 0.46 3 0.456667
7 5 100 0.273578 5 1.0905 3 0.818373 4.25 2.85029 3.23529 3 2.41 5 16.6 3 9.888 0.52 1 0.54 2 0.536 0.46 2 0.48 1 0.464
8 6 100 0.100504 6 1.05444 3 0.665193 4.25 2.5418 3.23529 3 0.4 6 16.21 3 8.12 0.54 2 0.56 1 0.543333 0.44 1 0.46 2 0.456667
9 5 100 0.274339 5 1.05946 3 0.777116 4.25 2.85029 3.23529 3 2.67 5 16.66 3 9.872 0.54 3 0.56 1 0.546 0.44 1 0.46 3 0.454
10 5 100 0.229403 5 1.03557 3 0.765324 4.2 2.94745 2.95238 3 1.96 5 17.64 3 9.848 0.54 2 0.55 1 0.542 0.45 1 0.46 2 0.458




Configuration FH_rang_c=0.979_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 10 100 0.0733838 9 0.612595 1 0.384047 2.33333 1.70489 1.72727 5 0.35 10 9.74 5 5.008 0.72 1 0.75 3 0.746 0.25 3 0.28 1 0.254
2 10 100 0.102054 9 0.529961 5 0.371813 2.5 1.67513 1.53191 6 0.81 10 10.32 6 4.943 0.73 2 0.76 3 0.749 0.24 3 0.27 2 0.251
3 10 100 0.100504 10 0.552394 5 0.380767 2.33333 1.69998 1.77419 5 0.31 10 10.02 5 4.89 0.74 2 0.77 1 0.752 0.23 1 0.26 2 0.248
4 10 100 0.100504 10 0.565434 5 0.38221 2.5 1.67862 1.5102 6 0.38 10 10.14 5 4.969 0.72 3 0.77 1 0.748 0.23 1 0.28 3 0.252
5 11 100 0 10 0.534218 5 0.348196 2.5 1.60707 1.56818 6 0 10 10.15 6 4.55091 0.75 1 0.76 4 0.750909 0.24 4 0.25 1 0.249091
6 10 100 0.100504 10 0.551747 5 0.380805 2.5 1.67096 1.52174 6 0.37 10 9.47 5 4.925 0.72 2 0.77 1 0.749 0.23 1 0.28 2 0.251
7 10 100 0.100504 10 0.543803 5 0.393046 2.5 1.6775 1.52083 6 0.33 10 9.51 6 4.944 0.74 2 0.76 1 0.75 0.24 1 0.26 2 0.25
8 10 100 0.142809 10 0.526522 6 0.379098 2 1.65343 1.65789 6 0.78 10 10.18 6 4.872 0.74 3 0.76 4 0.75 0.24 4 0.26 3 0.25
9 10 100 0.0714286 9 0.540296 5 0.366463 2.33333 1.70002 1.77419 5 0.38 10 10.31 5 4.936 0.73 1 0.76 3 0.748 0.24 3 0.27 1 0.252
10 9 100 0.17585 9 0.573431 1 0.405375 2.33333 1.78107 1.75 5 1.18 9 10.19 5 5.47111 0.72 1 0.75 2 0.746667 0.25 2 0.28 1 0.253333




Configuration FH_rang_c=0.945_n=500
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.5062 3 3.20881 2 1.97475 14.2143 14.4902 14.2143 2 7.39 3 30.566 2 16.628 0.152 2 0.156 1 0.153333 0.844 1 0.848 2 0.846667
2 3 100 0.527946 3 3.22086 2 1.97835 14.4815 14.2534 14.4815 2 8.116 3 30.16 2 16.684 0.152 1 0.154 3 0.152667 0.846 3 0.848 1 0.847333
